,scales,lacunarity
0,1,
1,2,3576862534.8500223
2,3,204172465.58257222
3,4,46865319.81778406
4,5,50905290.303756095
5,6,33674156.92454068
6,7,4804469.185945385
7,8,2853213.035425234
8,9,1535617.2807159945
9,10,2141959.723793197
10,11,1266586.1172112878
11,12,798469.4782203864
12,13,577641.3063941223
13,14,269269.8051953688
14,15,190049.52170056128
15,16,179645.04100265546
16,17,157899.66673336725
17,18,109602.57419037473
18,19,132086.400620483
19,20,132371.48999554195
20,21,133301.19755140878
21,22,167182.36601976628
22,23,103375.06771341861
23,24,143183.75229723947
24,25,95415.02659725802
25,26,81779.72769777178
26,27,65893.23546093755
27,28,53018.41081880161
28,29,52430.877758695744
29,30,105855.65752568448
30,31,131128.1435444805
31,32,134090.01448213207
32,33,142830.66590932466
33,34,104717.34566990171
34,35,105943.09681116925
35,36,95219.99854604891
36,37,103998.04149921556
37,38,195642.65064721217
38,39,436151.75300485134
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
