,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,210092813.62806252
7,8,23312372930.771915
8,9,1349461587.3825603
9,10,16539445.163417872
10,11,3697132.2360451464
11,12,1647592.2630828319
12,13,699727.4604627454
13,14,335300.64321111527
14,15,200073.91894576602
15,16,116371.0462273742
16,17,71848.5637417104
17,18,49707.10134232816
18,19,36128.22752874942
19,20,27444.351214390997
20,21,23292.218430935987
21,22,21458.144350639206
22,23,18515.910059197482
23,24,14783.933558778806
24,25,11546.822965125288
25,26,8349.269256049134
26,27,6098.255699887291
27,28,4930.294570630589
28,29,4423.769755736136
29,30,4284.068699201332
30,31,4372.595803576946
31,32,4497.937568944671
32,33,4624.061142313188
33,34,4766.780592427498
34,35,4750.89321153105
35,36,4421.20764286998
36,37,3903.9731871355457
37,38,3433.611293747527
38,39,2889.643052728614
39,40,2416.6255299823106
40,41,2095.236196674638
41,42,1830.4132024239307
42,43,1581.9026664922173
43,44,1353.2731822063147
44,45,1189.0473049885638
45,46,1091.9949218150796
46,47,1031.012922266525
47,48,974.2443394994655
48,49,915.5836209546667
49,50,883.3351145644485
50,51,854.4625895986018
51,52,803.0169546321447
52,53,750.2319022478509
53,54,700.3979579391597
54,55,664.9696811106941
55,56,652.424133396353
56,58,666.7464138305291
57,59,683.9904085588025
58,60,702.5588933930426
59,61,713.4391077272761
60,62,731.0422133046088
61,63,747.3245052266252
62,65,752.2458448468232
63,66,750.2743688993571
64,67,762.8690397944877
65,68,788.6460072465154
66,70,868.4323879757419
67,71,863.6560328349403
68,72,839.5111351507499
69,74,818.690723622876
70,75,862.5438569162484
71,77,1117.839627905302
72,78,1378.9406374482555
73,80,2567.233813920176
74,81,3505.1518814644005
75,83,5811.420572620132
76,84,8383.14204464709
77,86,36633.41436272772
78,87,308345.4542246091
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,3172064.8561328263
91,112,715201.667690499
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
